"","SRR8366697_1.fastq_quant","SRR8366698_1.fastq_quant","SRR8366699_1.fastq_quant","SRR8366700_1.fastq_quant","SRR8366701_1.fastq_quant","SRR8366704_1.fastq_quant","SRR8366705_1.fastq_quant","SRR8366706_1.fastq_quant","SRR8366707_1.fastq_quant"
"ENSG00000000003.10",0,0,3.7,0,3.043,0,0,0,0
"ENSG00000000005.5",0,0,0,2.699,0,0,0,0,0
"ENSG00000000419.8",7.015,9.419,12.143,1.801,10.988,0,1.918,15.151,0
"ENSG00000000457.9",173.375,148.145,91.726,108.498,105.013,7.208,16.185,99.179,17.377
"ENSG00000000938.8",0,0,0,0,0,0,0,0,0
"ENSG00000000971.11",1,3,0,3.964,1,5.61,0,0,0
"ENSG00000001036.9",16.185,25.745,13.711,15.4,25.069,2.361,9.448,9.122,2.409
"ENSG00000001084.6",76.563,28.851,42.061,48.156,53.751,22.255,16.221,19.92,4.281
"ENSG00000001167.10",95.868,76.798,151.135,77.581,52.216,20.083,27.785,25.904,6.494
"ENSG00000001460.13",42.033,38.274,49.42,39.033,22.984,17.069,16.105,25.791,6.532
"ENSG00000001461.12",65.863,71.47,45.254,53.677,44.148,12.292,27.708,15.271,8.812
"ENSG00000001497.12",779.471,467.713,438.122,633.166,503.729,169.618,228.82,175.361,82.062
"ENSG00000001617.7",1.066,1.041,4.939,1.219,2,2,0,0,1
"ENSG00000001626.10",28.827,21,14.353,14.265,3.127,7.411,4,6,3
"ENSG00000001629.5",2812.633,2452.781,2521.232,2377.305,1855.751,576.729,668.295,959.184,433.156
"ENSG00000001630.11",19.532,24.882,29.572,5.043,33.476,11.445,8.26,4.113,3.784
"ENSG00000001631.10",362.654,293.245,406.877,376.774,324.859,45.489,83.4,183.235,110.224
"ENSG00000002016.12",91.434,99.703,109.74,98.178,54.915,28.649,29.497,37.011,18.016
"ENSG00000002079.8",0,0,0,0,0,0.725,0,0,0
"ENSG00000002330.9",53.065,24.424,27.194,48.907,34.111,5.193,6.273,36.742,14.332
"ENSG00000002549.8",162.235,60.133,129.39,85.902,109.693,76.098,93.761,101.969,44.586
"ENSG00000002587.5",0,0,0,0,0,0,0,0,0
"ENSG00000002726.15",3,1,1.753,3,3.27,0,2,0,0
"ENSG00000002746.10",41.671,55.977,27.161,31.521,15.231,15.162,15.322,4.093,10.56
"ENSG00000002822.11",137.486,62.892,124.815,3.136,208.437,62.77,32.159,46.465,29.978
"ENSG00000002834.13",1332.157,767.205,838.191,1468.748,660.448,187.483,176.377,1095.769,260.416
"ENSG00000002919.10",59.805,27.916,63.938,54.172,68.829,17.2,13.384,28.458,13.051
"ENSG00000002933.3",11.735,9.782,16.978,1.347,14,3.837,4.819,0,0
"ENSG00000003056.3",915.017,274.119,622.469,948.815,660.851,287.663,181.815,647.513,279.01
"ENSG00000003096.9",20.348,10.269,7.023,17.527,18.73,9.624,9.781,0,5.309
"ENSG00000003137.4",113.948,706.384,400.001,133.478,19.419,51.991,5.2,5,0
"ENSG00000003147.13",67.486,44.811,34.98,31.652,37.552,17.293,14.052,23.972,33.819
"ENSG00000003249.9",9.752,1.322,10.391,8.801,0,0,1.296,1.594,1.414
"ENSG00000003393.10",90.737,47.856,39.686,58.055,42.753,16.562,14.478,22.471,2.743
"ENSG00000003400.10",4.031,0,5.07,4.008,2.023,0,1,1.002,0
"ENSG00000003402.15",91.915,72.503,33.872,30.408,52.602,19.144,19.759,86.367,27.875
"ENSG00000003436.10",2.371,0,6,4.717,0,3.036,0,25.151,2.246
"ENSG00000003509.11",444.082,235.913,245.129,374.005,274.498,88.422,79.56,145.361,95.93
"ENSG00000003756.12",4479.101,3197.549,3081.324,3833.313,4115.696,953.091,861.627,1393.555,990.426
"ENSG00000003987.9",107.584,111.473,132.093,53.464,50.737,26.955,30.611,3.239,8.472
"ENSG00000003989.12",0,0,51.477,12.658,0,35.69,0,0,0
"ENSG00000004059.6",278.707,201.077,213.216,356.376,181.685,103.109,43.134,125.151,38.504
"ENSG00000004139.9",47.292,13.316,24.11,24.766,22.417,4.184,6.837,11.098,2.257
"ENSG00000004399.8",218.181,68.367,145.227,159.113,78.372,31.166,23.534,97.498,25.244
"ENSG00000004455.12",481.78,190.018,371.395,290.404,38.328,141.665,111.771,369.859,225.139
"ENSG00000004468.8",0,0,3,0,0,4,2,1.745,0
"ENSG00000004478.5",619.551,390.316,589.655,306.166,250.453,177.554,110.458,286.648,191.732
"ENSG00000004487.11",926.312,603.77,965.784,595.426,769.145,239.57,159.455,234.595,108.309
"ENSG00000004534.10",901.76,647.2,786.151,847.099,670.83,169.524,165.775,292.184,133.742
"ENSG00000004660.10",29.023,20.025,27.166,20.788,16.59,12.795,8.196,14.883,2.572
"ENSG00000004700.11",0,0,0,0,0,4.588,0,4.525,3.374
"ENSG00000004766.11",659.099,463.826,499.038,486.084,598.406,168.914,148.559,162.547,193.862
"ENSG00000004776.7",0,0,0,0,0,0,0,0,0
"ENSG00000004777.14",7.205,14.172,11.863,16.521,4.613,1,2.217,1,1
"ENSG00000004779.5",65.215,53.863,49.481,27.16,46.469,13.239,16.108,25.849,7.937
"ENSG00000004799.7",1.212,0,1.072,0,4.15,0,1,1.036,0
"ENSG00000004809.9",13.106,3.131,11.641,5,4.221,7.265,2.514,0,1
"ENSG00000004838.9",3.318,3.254,4.668,11.989,9.862,4,1.157,0,0
"ENSG00000004846.12",1,0,1.233,0,0,0,0,0,0
"ENSG00000004864.9",88.885,21.14,69.981,104.204,34.662,19.264,13.436,25.297,11.854
"ENSG00000004866.14",920.715,760.103,638.34,761.069,1079.892,248.397,257.418,252.657,181.994
"ENSG00000004897.7",306.363,142.172,367.165,279.318,171.788,130.75,81.192,284.293,80.408
"ENSG00000004939.9",0,0,0,0,0,0,0,0,0
"ENSG00000004975.7",250.907,121.352,204.608,272.918,266.302,41.18,35.706,139.194,33.45
"ENSG00000005001.5",0,0,0,0,0,5,0,0,0
"ENSG00000005007.8",117.157,5.484,100.358,13.68,19.935,24.852,23.962,57.336,70.862
"ENSG00000005020.8",1.354,5.768,6.225,1.32,2.949,3.218,1.225,0,0
"ENSG00000005022.5",17.685,23.497,34.378,20.003,22.18,7.494,13.583,39.96,21.614
